date,pm25,o3,no2,so2,co,aqi
12/27/2015,129,9,10,5,12,0
12/28/2015,163,7,13,5,20,0
12/29/2015,127,10,10,5,11,0
12/30/2015,83,13,10,5,12,0
12/31/2015,0,0,0,0,0,0
1/1/2016,0,0,0,0,0,0
1/2/2016,0,0,0,0,0,0
1/3/2016,0,17,20,6,23,0
1/4/2016,161,23,19,6,22,0
1/5/2016,170,0,0,0,0,0
1/6/2016,154,0,0,0,0,0
1/7/2016,157,0,0,0,0,0
1/8/2016,150,0,0,0,0,0
1/9/2016,140,0,0,0,0,0
1/10/2016,130,7,14,6,13,0
1/11/2016,114,25,16,6,24,0
1/12/2016,145,13,14,6,19,0
1/13/2016,161,11,10,6,18,0
1/14/2016,137,11,7,6,9,0
1/15/2016,90,0,0,0,0,0
1/16/2016,144,0,0,0,0,0
1/17/2016,126,0,0,0,0,0
1/18/2016,144,5,3,6,13,0
1/19/2016,156,11,0,6,10,0
1/20/2016,197,10,0,6,13,0
1/21/2016,191,10,0,6,11,0
1/22/2016,104,20,0,6,5,0
1/23/2016,90,28,0,6,2,0
1/24/2016,127,15,5,6,5,0
1/25/2016,147,14,0,6,4,0
1/26/2016,137,17,1,6,8,0
1/27/2016,151,14,0,6,12,0
1/28/2016,181,0,0,0,0,0
1/29/2016,180,0,0,0,0,0
1/30/2016,135,0,0,0,0,0
1/31/2016,119,0,0,0,0,0
2/1/2016,75,0,0,0,0,0
2/2/2016,118,0,0,0,0,0
2/3/2016,167,0,0,0,0,0
2/4/2016,163,0,0,0,0,0
2/5/2016,165,0,0,0,0,0
2/6/2016,165,0,0,0,0,0
2/7/2016,180,0,0,0,0,0
2/8/2016,200,0,0,0,0,0
2/9/2016,143,0,0,0,0,0
2/10/2016,137,0,0,0,0,0
2/11/2016,131,0,0,0,0,0
2/12/2016,149,0,0,0,0,0
2/13/2016,159,0,0,0,0,0
2/14/2016,172,0,0,0,0,0
2/15/2016,105,0,0,0,0,0
2/16/2016,130,0,0,0,0,0
2/17/2016,167,0,0,0,0,0
2/18/2016,175,18,26,6,14,0
2/19/2016,183,12,31,6,16,0
2/20/2016,172,0,0,0,0,0
2/21/2016,171,16,25,6,17,0
2/22/2016,165,15,16,6,10,0
2/23/2016,123,19,16,6,9,0
2/24/2016,117,14,12,7,6,0
2/25/2016,135,12,17,6,20,0
2/26/2016,135,19,16,7,14,0
2/27/2016,150,30,22,7,16,0
2/28/2016,173,29,27,7,17,0
2/29/2016,191,40,31,7,25,0
3/1/2016,178,0,0,0,0,0
3/2/2016,154,0,0,0,0,0
3/3/2016,145,2,21,7,19,0
3/4/2016,0,4,14,7,25,0
3/5/2016,0,22,13,7,14,0
3/6/2016,152,20,9,7,13,0
3/7/2016,119,74,6,7,21,0
3/8/2016,94,54,11,7,20,0
3/9/2016,104,14,14,7,11,0
3/10/2016,88,19,19,7,13,0
3/11/2016,48,14,17,7,16,0
3/12/2016,16,19,14,7,11,0
3/13/2016,19,16,23,7,16,0
3/14/2016,73,19,23,7,19,0
3/15/2016,143,18,20,7,22,0
3/16/2016,96,17,18,7,21,0
3/17/2016,0,50,12,7,21,0
3/18/2016,160,60,10,7,20,0
3/19/2016,133,4,6,7,5,0
3/20/2016,126,52,6,7,16,0
3/21/2016,97,67,6,7,24,0
3/22/2016,124,23,7,7,15,0
3/23/2016,142,0,0,0,0,0
3/24/2016,76,0,0,0,0,0
3/25/2016,118,0,0,0,0,0
3/26/2016,142,0,0,0,0,0
3/27/2016,166,0,0,0,0,0
3/28/2016,194,0,0,0,0,0
3/29/2016,184,0,0,0,0,0
3/30/2016,157,3,18,0,26,0
3/31/2016,153,15,12,0,24,0
4/1/2016,162,38,8,0,16,0
4/2/2016,119,26,7,0,12,0
4/3/2016,135,20,6,0,17,0
4/4/2016,123,42,5,0,14,0
4/5/2016,109,50,7,0,13,0
4/6/2016,106,47,4,0,19,0
4/7/2016,121,45,8,0,22,0
4/8/2016,120,17,6,0,9,0
4/9/2016,115,0,0,0,0,0
4/10/2016,143,0,0,0,0,0
4/11/2016,144,0,0,0,0,0
4/12/2016,133,32,22,0,26,0
4/13/2016,142,95,16,0,23,0
4/14/2016,148,117,11,0,21,0
4/15/2016,157,0,0,0,0,0
4/16/2016,146,0,0,0,0,0
4/17/2016,149,0,0,0,0,0
4/18/2016,84,0,11,0,18,0
4/19/2016,124,0,11,0,11,0
4/20/2016,84,28,9,0,24,0
4/21/2016,93,35,15,0,25,0
4/22/2016,74,0,0,0,0,0
4/23/2016,122,0,0,0,0,0
4/24/2016,72,70,13,0,26,0
4/25/2016,68,85,9,0,27,0
4/26/2016,108,140,8,0,31,0
4/27/2016,114,110,13,0,31,0
4/28/2016,128,94,10,0,43,0
4/29/2016,135,94,9,0,30,0
4/30/2016,110,71,8,0,21,0
5/1/2016,62,169,3,0,8,0
5/2/2016,98,0,0,0,0,0
5/3/2016,97,0,0,0,0,0
5/4/2016,80,0,0,0,0,0
5/5/2016,92,0,0,0,0,0
5/6/2016,92,0,0,0,0,0
5/7/2016,75,0,0,0,0,0
5/8/2016,71,131,7,0,28,0
5/9/2016,97,167,10,0,25,0
5/10/2016,97,111,12,0,30,0
5/11/2016,134,131,14,11,33,0
5/12/2016,105,159,12,11,23,0
5/13/2016,83,154,6,11,20,0
5/14/2016,41,135,5,11,18,0
5/15/2016,75,52,9,11,14,0
5/16/2016,73,45,12,11,25,0
5/17/2016,117,161,9,11,26,0
5/18/2016,107,174,6,11,25,0
5/19/2016,84,161,7,11,20,0
5/20/2016,88,149,6,11,17,0
5/21/2016,103,110,8,11,30,0
5/22/2016,103,138,8,11,36,0
5/23/2016,111,124,3,11,27,0
5/24/2016,105,154,5,11,31,0
5/25/2016,90,142,2,11,22,0
5/26/2016,63,172,3,11,33,0
5/27/2016,54,150,5,11,25,0
5/28/2016,76,136,4,11,25,0
5/29/2016,89,121,4,11,35,0
5/30/2016,76,78,5,11,22,0
5/31/2016,72,58,4,11,18,0
6/1/2016,60,44,5,11,20,0
6/2/2016,71,35,5,11,20,0
6/3/2016,76,32,5,11,24,0
6/4/2016,77,0,0,0,0,0
6/5/2016,105,0,0,0,0,0
6/6/2016,104,21,14,11,29,0
6/7/2016,73,0,0,0,0,0
6/8/2016,100,0,0,0,0,0
6/9/2016,98,0,0,0,0,0
6/10/2016,110,0,0,0,0,0
6/11/2016,87,0,0,0,0,0
6/12/2016,70,0,0,0,0,0
6/13/2016,94,0,0,0,0,0
6/14/2016,100,0,0,0,0,0
6/15/2016,101,0,0,0,0,0
6/16/2016,80,0,0,0,0,0
6/17/2016,109,0,0,0,0,0
6/18/2016,104,0,0,0,0,0
6/19/2016,122,0,0,0,0,0
