date,pm25,aqi
2/14/2016,85,0
2/15/2016,65,0
2/16/2016,57,0
2/17/2016,73,0
2/18/2016,73,0
2/19/2016,67,0
2/20/2016,56,0
2/21/2016,86,0
2/22/2016,80,0
2/23/2016,96,0
2/24/2016,105,0
2/25/2016,96,0
2/26/2016,101,0
2/27/2016,70,0
2/28/2016,71,0
2/29/2016,65,0
3/1/2016,56,0
3/2/2016,85,0
3/3/2016,66,0
3/4/2016,81,0
3/5/2016,69,0
3/6/2016,67,0
3/7/2016,68,0
3/8/2016,66,0
3/9/2016,68,0
3/10/2016,79,0
3/11/2016,56,0
3/12/2016,51,0
3/13/2016,53,0
3/14/2016,58,0
3/15/2016,63,0
3/16/2016,72,0
3/17/2016,63,0
3/18/2016,51,0
3/19/2016,60,0
3/20/2016,66,0
3/21/2016,68,0
3/22/2016,56,0
3/23/2016,64,0
3/24/2016,57,0
3/25/2016,87,0
3/26/2016,84,0
3/27/2016,86,0
3/28/2016,82,0
3/29/2016,74,0
3/30/2016,91,0
3/31/2016,99,0
4/1/2016,95,0
4/2/2016,79,0
4/3/2016,70,0
4/4/2016,60,0
4/5/2016,58,0
4/6/2016,48,0
4/7/2016,59,0
4/8/2016,78,0
4/9/2016,98,0
4/10/2016,77,0
4/11/2016,57,0
4/12/2016,61,0
4/13/2016,63,0
4/14/2016,57,0
4/15/2016,57,0
4/16/2016,74,0
4/17/2016,76,0
4/18/2016,107,0
4/19/2016,98,0
4/20/2016,108,0
4/21/2016,115,0
4/22/2016,116,0
4/23/2016,115,0
4/24/2016,114,0
4/25/2016,96,0
4/26/2016,91,0
4/27/2016,64,0
4/28/2016,62,0
4/29/2016,66,0
4/30/2016,68,0
5/1/2016,63,0
5/2/2016,68,0
5/3/2016,67,0
5/4/2016,59,0
5/5/2016,94,0
5/6/2016,84,0
5/7/2016,88,0
5/8/2016,100,0
5/9/2016,73,0
5/10/2016,85,0
5/11/2016,73,0
5/12/2016,76,0
5/13/2016,80,0
5/14/2016,102,0
5/15/2016,59,0
5/16/2016,86,0
5/17/2016,78,0
5/18/2016,69,0
5/19/2016,81,0
5/20/2016,117,0
5/21/2016,96,0
5/22/2016,97,0
5/23/2016,98,0
5/24/2016,70,0
5/25/2016,109,0
5/26/2016,121,0
5/27/2016,112,0
5/28/2016,119,0
5/29/2016,85,0
5/30/2016,81,0
5/31/2016,153,0
6/1/2016,158,0
6/2/2016,125,0
6/3/2016,98,0
6/4/2016,94,0
6/5/2016,85,0
6/6/2016,101,0
6/7/2016,109,0
6/8/2016,114,0
6/9/2016,107,0
6/10/2016,108,0
6/11/2016,135,0
6/12/2016,0,0
6/13/2016,0,0
6/14/2016,120,0
6/15/2016,60,0
6/16/2016,76,0
6/17/2016,75,0
6/18/2016,45,0
6/19/2016,50,0
6/20/2016,67,0
6/21/2016,63,0
6/22/2016,48,0
6/23/2016,58,0
6/24/2016,83,0
6/25/2016,50,0
6/26/2016,46,0
6/27/2016,58,0
6/28/2016,49,0
6/29/2016,51,0
6/30/2016,40,0
7/1/2016,37,0
7/2/2016,44,0
7/3/2016,56,0
7/4/2016,63,0
7/5/2016,56,0
7/6/2016,102,0
7/7/2016,70,0
7/8/2016,85,0
7/9/2016,70,0
7/10/2016,97,0
7/11/2016,87,0
7/12/2016,79,0
7/13/2016,58,0
7/14/2016,72,0
7/15/2016,78,0
7/16/2016,63,0
7/17/2016,63,0
7/18/2016,102,0
7/19/2016,97,0
7/20/2016,110,0
7/21/2016,87,0
7/22/2016,73,0
7/23/2016,81,0
7/24/2016,93,0
7/25/2016,83,0
7/26/2016,71,0
7/27/2016,100,0
7/28/2016,86,0
7/29/2016,80,0
7/30/2016,90,0
7/31/2016,90,0
8/1/2016,103,0
8/2/2016,84,0
8/3/2016,85,0
8/4/2016,68,0
8/5/2016,110,0
